REVIEW_ID,TRACK_ID, popularity
R1,1,45
R2,2,44
R3,3,44
R4,4,46
R5,5,45
R6,6,44
R7,7,55
R8,8,42
R9,9,62
R10,10,42
R11,11,40
R12,12,40
R13,13,42
R14,14,39
R15,15,42
R16,16,43
R17,17,40
R18,18,41
R19,19,57
R20,20,44
R21,21,52
R22,22,55
R23,23,55
R24,24,49
R25,25,42
R26,26,50
R27,27,50
R28,28,49
R29,29,45
R30,30,44
R31,31,40
R32,32,47
R33,33,39
R34,34,40
R35,35,35
R36,36,36
R37,37,34
R38,38,34
R39,39,40
R40,40,32
R41,41,42
R42,42,43
R43,43,43
R44,44,40
R45,45,34
R46,46,35
R47,47,34
R48,48,45
R49,49,62
R50,50,45
R51,51,42
R52,52,41
R53,53,67
R54,54,35
R55,55,45
R56,56,37
R57,57,36
R58,58,40
R59,59,33
R60,60,33
R61,61,35
R62,62,30
R63,63,21
R64,64,24
R65,65,24
R66,66,27
R67,67,36
R68,68,51
R69,69,21
R70,70,34
R71,71,24
R72,72,22
R73,73,47
R74,74,20
R75,75,20
R76,76,37
R77,77,39
R78,78,38
R79,79,31
R80,80,39
R81,81,16
R82,82,18
R83,83,33
R84,84,16
R85,85,15
R86,86,33
R87,87,15
R88,88,14
R89,89,12
R90,90,33
R91,91,0
R92,92,0
R93,93,0
R94,94,0
R95,95,0
R96,96,0
R97,97,0
R98,98,0
R99,99,0
R100,100,0
R101,101,0
R102,102,22
R103,103,24
R104,104,34
R105,105,45
R106,106,22
R107,107,44
R108,108,34
R109,109,34
R110,110,60
R111,111,22
R112,112,62
R113,113,21
R114,114,22
R115,115,21
R116,116,21
R117,117,37
R118,118,20
R119,119,20
R120,120,20
R121,121,19
R122,122,18
R123,123,32
R124,124,36
R125,125,65
R126,126,36
R127,127,31
R128,128,36
R129,129,30
R130,130,38
R131,131,33
R132,132,55
R133,133,49
R134,134,52
R135,135,35
R136,136,32
R137,137,31
R138,138,38
R139,139,41
R140,140,37
R141,141,36
R142,142,49
R143,143,40
R144,144,38
R145,145,33
R146,146,39
R147,147,36
R148,148,31
R149,149,25
R150,150,31
R151,151,33
R152,152,35
R153,153,36
R154,154,31
R155,155,20
R156,156,31
R157,157,35
R158,158,20
R159,159,18
R160,160,18
R161,161,30
R162,162,16
R163,163,16
R164,164,36
R165,165,16
R166,166,17
R167,167,15
R168,168,16
R169,169,16
R170,170,30
R171,171,30
R172,172,22
R173,173,26
R174,174,25
R175,175,26
R176,176,34
R177,177,23
R178,178,39
R179,179,26
R180,180,33
R181,181,21
R182,182,21
R183,183,16
R184,184,14
R185,185,23
R186,186,16
R187,187,16
R188,188,15
R189,189,34
R190,190,16
R191,191,21
R192,192,12
R193,193,13
R194,194,12
R195,195,11
R196,196,15
R197,197,9
R198,198,11
R199,199,14
R200,200,9
R201,201,12
R202,202,32
R203,203,11
R204,204,12
R205,205,42
R206,206,18
R207,207,16
R208,208,14
R209,209,17
R210,210,19
R211,211,21
R212,212,10
R213,213,16
R214,214,10
R215,215,16
R216,216,16
R217,217,11
R218,218,17
R219,219,10
R220,220,11
R221,221,39
R222,222,33
R223,223,13
R224,224,32
R225,225,19
R226,226,30
R227,227,17
R228,228,9
R229,229,14
R230,230,8
R231,231,9
R232,232,14
R233,233,10
R234,234,9
R235,235,32
R236,236,17
R237,237,19
R238,238,20
R239,239,28
R240,240,21
R241,241,13
R242,242,20
R243,243,15
R244,244,12
R245,245,32
R246,246,11
R247,247,42
R248,248,17
R249,249,20
R250,250,12
R251,251,18
R252,252,15
R253,253,28
R254,254,13
R255,255,13
R256,256,30
R257,257,15
R258,258,16
R259,259,16
R260,260,19
R261,261,26
R262,262,15
R263,263,13
R264,264,17
R265,265,10
R266,266,12
R267,267,14
R268,268,13
R269,269,9
R270,270,32
R271,271,15
R272,272,15
R273,273,10
R274,274,10
R275,275,9
R276,276,22
R277,277,9
R278,278,12
R279,279,12
R280,280,7
R281,281,17
R282,282,9
R283,283,13
R284,284,8
R285,285,8
R286,286,6
R287,287,24
R288,288,10
R289,289,11
R290,290,34
R291,291,7
R292,292,7
R293,293,2
R294,294,2
R295,295,3
R296,296,6
R297,297,4
R298,298,14
R299,299,31
R300,300,46
R301,301,18
R302,302,23
R303,303,13
R304,304,12
R305,305,13
R306,306,12
R307,307,17
R308,308,15
R309,309,40
R310,310,59
R311,311,43
R312,312,44
R313,313,48
R314,314,43
R315,315,54
R316,316,43
R317,317,39
R318,318,65
R319,319,66
R320,320,63
R321,321,39
R322,322,38
R323,323,39
R324,324,38
R325,325,38
R326,326,18
R327,327,11
R328,328,13
R329,329,9
R330,330,11
R331,331,8
R332,332,13
R333,333,11
R334,334,11
R335,335,10
R336,336,7
R337,337,19
R338,338,54
R339,339,37
R340,340,48
R341,341,30
R342,342,44
R343,343,62
R344,344,29
R345,345,26
R346,346,26
R347,347,28
R348,348,48
R349,349,25
R350,350,11
R351,351,8
R352,352,10
R353,353,10
R354,354,8
R355,355,8
R356,356,11
R357,357,9
R358,358,9
R359,359,9
R360,360,7
R361,361,12
R362,362,13
R363,363,11
R364,364,35
R365,365,18
R366,366,25
R367,367,14
R368,368,8
R369,369,11
R370,370,8
R371,371,8
R372,372,12
R373,373,7
R374,374,6
R375,375,14
R376,376,8
R377,377,11
R378,378,18
R379,379,24
R380,380,14
R381,381,12
R382,382,23
R383,383,13
R384,384,18
R385,385,11
R386,386,13
R387,387,19
R388,388,16
R389,389,31
R390,390,14
R391,391,33
R392,392,15
R393,393,38
R394,394,10
R395,395,16
R396,396,4
R397,397,4
R398,398,4
R399,399,6
R400,400,4
R401,401,6
R402,402,8
R403,403,17
R404,404,4
R405,405,8
R406,406,15
R407,407,13
R408,408,18
R409,409,18
R410,410,14
R411,411,12
R412,412,16
R413,413,14
R414,414,12
R415,415,13
R416,416,11
R417,417,25
R418,418,13
R419,419,13
R420,420,21
R421,421,57
R422,422,39
R423,423,32
R424,424,25
R425,425,23
R426,426,43
R427,427,21
R428,428,18
R429,429,35
R430,430,19
R431,431,19
R432,432,19
R433,433,13
R434,434,12
R435,435,11
R436,436,10
R437,437,9
R438,438,10
R439,439,11
R440,440,10
R441,441,8
R442,442,7
R443,443,9
R444,444,8
R445,445,15
R446,446,18
R447,447,11
R448,448,16
R449,449,16
R450,450,10
R451,451,38
R452,452,11
R453,453,10
R454,454,11
R455,455,10
R456,456,20
R457,457,25
R458,458,24
R459,459,22
R460,460,29
R461,461,15
R462,462,23
R463,463,23
R464,464,32
R465,465,15
R466,466,15
R467,467,15
R468,468,13
R469,469,29
R470,470,20
R471,471,27
R472,472,14
R473,473,18
R474,474,17
R475,475,12
R476,476,15
R477,477,22
R478,478,11
R479,479,10
R480,480,10
R481,481,10
R482,482,23
R483,483,10
R484,484,22
R485,485,22
R486,486,14
R487,487,13
R488,488,14
R489,489,18
R490,490,39
R491,491,28
R492,492,9
R493,493,13
R494,494,9
R495,495,25
R496,496,11
R497,497,22
R498,498,28
R499,499,14
R500,500,10
R501,501,37
R502,502,30
R503,503,33
R504,504,35
R505,505,33
R506,506,33
R507,507,35
R508,508,61
R509,509,29
R510,510,32
R511,511,51
R512,512,8
R513,513,17
R514,514,25
R515,515,26
R516,516,16
R517,517,23
R518,518,6
R519,519,7
R520,520,9
R521,521,8
R522,522,9
R523,523,7
R524,524,6
R525,525,11
R526,526,10
R527,527,9
R528,528,6
R529,529,7
R530,530,8
R531,531,18
R532,532,8
R533,533,8
R534,534,6
R535,535,5
R536,536,7
R537,537,9
R538,538,26
R539,539,7
R540,540,24
R541,541,11
R542,542,22
R543,543,25
R544,544,22
R545,545,7
R546,546,7
R547,547,8
R548,548,30
R549,549,17
R550,550,25
R551,551,14
R552,552,23
R553,553,21
R554,554,40
R555,555,11
R556,556,23
R557,557,9
R558,558,8
R559,559,18
R560,560,23
R561,561,58
R562,562,61
R563,563,32
R564,564,43
R565,565,18
R566,566,18
R567,567,19
R568,568,26
R569,569,25
R570,570,17
R571,571,16
R572,572,34
R573,573,54
R574,574,33
R575,575,37
R576,576,30
R577,577,34
R578,578,32
R579,579,30
R580,580,26
R581,581,31
R582,582,29
R583,583,26
R584,584,25
R585,585,22
R586,586,32
R587,587,31
R588,588,26
R589,589,27
R590,590,22
R591,591,26
R592,592,28
R593,593,28
R594,594,22
R595,595,21
R596,596,21
R597,597,24
R598,598,24
R599,599,21
R600,600,20
R601,601,20
R602,602,22
R603,603,25
R604,604,25
R605,605,21
R606,606,22
R607,607,20
R608,608,23
R609,609,37
R610,610,15
R611,611,15
R612,612,23
R613,613,36
R614,614,25
R615,615,16
R616,616,15
R617,617,18
R618,618,22
R619,619,25
R620,620,16
R621,621,20
R622,622,20
R623,623,19
R624,624,19
R625,625,20
R626,626,21
R627,627,21
R628,628,18
R629,629,22
R630,630,22
R631,631,19
R632,632,18
R633,633,17
R634,634,15
R635,635,9
R636,636,9
R637,637,12
R638,638,9
R639,639,13
R640,640,10
R641,641,9
R642,642,11
R643,643,9
R644,644,18
R645,645,11
R646,646,10
R647,647,17
R648,648,11
R649,649,12
R650,650,11
R651,651,9
R652,652,19
R653,653,11
R654,654,10
R655,655,6
R656,656,6
R657,657,9
R658,658,6
R659,659,7
R660,660,9
R661,661,9
R662,662,9
R663,663,9
R664,664,8
R665,665,9
R666,666,7
R667,667,11
R668,668,8
R669,669,7
R670,670,5
R671,671,6
R672,672,8
R673,673,5
R674,674,9
R675,675,5
R676,676,5
R677,677,5
R678,678,7
R679,679,7
R680,680,8
R681,681,6
R682,682,7
R683,683,7
R684,684,7
R685,685,5
R686,686,8
R687,687,6
R688,688,9
R689,689,6
R690,690,6
R691,691,6
R692,692,5
R693,693,5
R694,694,7
R695,695,5
R696,696,8
R697,697,4
R698,698,5
R699,699,5
R700,700,7
R701,701,7
R702,702,5
R703,703,7
R704,704,38
R705,705,5
R706,706,6
R707,707,7
R708,708,6
R709,709,6
R710,710,13
R711,711,17
R712,712,5
R713,713,7
R714,714,5
R715,715,4
R716,716,4
R717,717,5
R718,718,5
R719,719,4
R720,720,4
R721,721,5
R722,722,5
R723,723,3
R724,724,4
R725,725,4
R726,726,6
R727,727,8
R728,728,5
R729,729,4
R730,730,3
R731,731,3
R732,732,6
R733,733,4
R734,734,3
R735,735,2
R736,736,7
R737,737,3
R738,738,3
R739,739,5
R740,740,5
R741,741,3
R742,742,38
R743,743,8
R744,744,6
R745,745,2
R746,746,2
R747,747,10
R748,748,2
R749,749,3
R750,750,4
R751,751,4
R752,752,3
R753,753,3
R754,754,2
R755,755,6
R756,756,4
R757,757,3
R758,758,3
R759,759,13
R760,760,12
R761,761,19
R762,762,37
R763,763,49
R764,764,36
R765,765,13
R766,766,13
R767,767,13
R768,768,15
R769,769,14
R770,770,11
R771,771,36
R772,772,15
R773,773,56
R774,774,16
R775,775,38
R776,776,39
R777,777,13
R778,778,38
R779,779,17
R780,780,15
R781,781,40
R782,782,13
R783,783,19
R784,784,12
R785,785,12
R786,786,12
R787,787,46
R788,788,17
R789,789,46
R790,790,15
R791,791,33
R792,792,20
R793,793,19
R794,794,14
R795,795,23
R796,796,13
R797,797,24
R798,798,13
R799,799,34
R800,800,14
R801,801,38
R802,802,13
R803,803,38
R804,804,13
R805,805,28
R806,806,13
R807,807,25
R808,808,13
R809,809,27
R810,810,14
R811,811,30
R812,812,13
R813,813,39
R814,814,13
R815,815,37
R816,816,37
R817,817,39
R818,818,39
R819,819,34
R820,820,32
R821,821,37
R822,822,32
R823,823,33
R824,824,36
R825,825,36
R826,826,65
R827,827,37
R828,828,40
R829,829,28
R830,830,26
R831,831,52
R832,832,30
R833,833,38
R834,834,22
R835,835,23
R836,836,20
R837,837,39
R838,838,27
R839,839,17
R840,840,33
R841,841,13
R842,842,14
R843,843,21
R844,844,17
R845,845,18
R846,846,15
R847,847,15
R848,848,20
R849,849,4
R850,850,7
R851,851,4
R852,852,6
R853,853,9
R854,854,9
R855,855,10
R856,856,11
R857,857,4
R858,858,12
R859,859,7
R860,860,12
R861,861,8
R862,862,15
R863,863,14
R864,864,14
R865,865,16
R866,866,10
R867,867,21
R868,868,14
R869,869,6
R870,870,5
R871,871,5
R872,872,1
R873,873,1
R874,874,0
R875,875,1
R876,876,2
R877,877,0
R878,878,0
R879,879,0
R880,880,0
R881,881,0
R882,882,0
R883,883,20
R884,884,24
R885,885,20
R886,886,23
R887,887,25
R888,888,23
R889,889,21
R890,890,55
R891,891,20
R892,892,17
R893,893,22
R894,894,19
R895,895,45
R896,896,22
R897,897,18
R898,898,18
R899,899,21
R900,900,23
R901,901,20
R902,902,17
R903,903,40
R904,904,19
R905,905,18
R906,906,19
R907,907,17
R908,908,71
R909,909,21
R910,910,18
R911,911,18
R912,912,17
R913,913,40
R914,914,30
R915,915,26
R916,916,26
R917,917,24
R918,918,31
R919,919,41
R920,920,32
R921,921,33
R922,922,22
R923,923,23
R924,924,21
R925,925,23
R926,926,20
R927,927,20
R928,928,20
R929,929,28
R930,930,31
R931,931,33
R932,932,12
R933,933,24
R934,934,17
R935,935,8
R936,936,18
R937,937,9
R938,938,16
R939,939,7
R940,940,7
R941,941,20
R942,942,24
R943,943,11
R944,944,37
R945,945,24
R946,946,25
R947,947,10
