TRACK_ID, album_id,track_name, release_date,LENGTH
1,B1,Desconstrução Ao Vivo,2019-09-20,04:44.7
2,B1,Fuzuê Ao Vivo,2019-09-20,04:20.2
3,B1,Mil Razões Ao Vivo,2019-09-20,04:07.9
4,B1,Hoje Lembrei Do Teu Amor Ao Vivo,2019-09-20,04:30.9
5,B1,Deitada Nessa Cama Ao Vivo,2019-09-20,04:02.7
6,B1,Nessa Paz Eu Vou Ao Vivo,2019-09-20,03:45.4
7,B1,Coisa Linda Ao Vivo,2019-09-20,03:12.9
8,B1,Lôra Ao Vivo,2019-09-20,04:22.2
9,B1,Tangerina Ao Vivo,2019-09-20,04:41.3
10,B1,Tua Caramassa Ao Vivo,2019-09-20,03:41.5
11,B1,Do Que Você Tem Medo Ao Vivo,2019-09-20,03:00.9
12,B1,A Vida Nunca Cansa Ao Vivo,2019-09-20,05:00.9
13,B1,Laços Ao Vivo,2019-09-20,03:44.7
14,B1,Bellyache Ao Vivo,2019-09-20,04:19.4
15,B1,Um Dia Após O Outro Ao Vivo,2019-09-20,04:10.2
16,B1,Me Tira Pra Dançar Ao Vivo,2019-09-20,04:13.9
17,B1,Faz Ao Vivo,2019-09-20,04:26.4
18,B1,Cataflor Ao Vivo,2019-09-20,04:49.8
19,B1,Amei Te Ver Ao Vivo,2019-09-20,04:09.5
20,B1,Bilhetes Ao Vivo,2019-09-20,05:45.5
21,B2,Desconstrução,2019-05-05,04:43.8
22,B2,Hoje Lembrei Do Teu Amor,2019-05-05,04:03.6
23,B2,Deitada Nessa Cama,2019-05-05,04:06.5
24,B2,Fuzuê,2019-05-05,04:00.9
25,B2,Faz,2019-05-05,04:03.5
26,B2,Tangerina,2019-05-05,03:51.9
27,B2,Laços,2019-05-05,03:24.9
28,B2,Nessa Paz Eu Vou,2019-05-05,03:32.5
29,B2,Tua Caramassa,2019-05-05,03:43.2
30,B2,Me Tira Pra Dançar,2019-05-05,03:43.7
31,B2,A Vida Nunca Cansa,2019-05-05,04:45.3
32,B2,Bilhetes,2019-05-05,04:51.3
33,B2,Sei,2019-05-05,03:47.5
34,B3,Sol Que Faltava Ao Vivo,2016-09-16,03:55.7
35,B3,Coisa Linda Ao Vivo,2016-09-16,03:10.4
36,B3,Mil Razões Ao Vivo,2016-09-16,03:27.7
37,B3,Eu Errei Ao Vivo,2016-09-16,04:10.0
38,B3,De Todas as Coisas Ao Vivo,2016-09-16,02:42.6
39,B3,Mulher Ao Vivo,2016-09-16,03:18.8
40,B3,Liberdade ou Solidão Ao Vivo,2016-09-16,03:38.2
41,B3,Um Dia Após o Outro Ao Vivo,2016-09-16,03:18.3
42,B3,Chega Pra Cá Ao Vivo,2016-09-16,03:02.5
43,B3,Dia Especial Ao Vivo,2016-09-16,04:18.7
44,B3,Sorte Ao Vivo,2016-09-16,04:35.7
45,B3,Alexandria Ao Vivo,2016-09-16,03:42.2
46,B3,Amei Te Ver Ao Vivo,2016-09-16,04:11.6
47,B3,Cataflor Ao Vivo,2016-09-16,05:41.9
48,B4,Alexandria,2015-07-10,03:42.5
49,B4,Amei Te Ver,2015-07-10,04:17.8
50,B4,Mil Razões,2015-07-10,04:04.7
51,B4,Eu Errei,2015-07-10,03:41.8
52,B4,De Todas As Coisas,2015-07-10,02:46.9
53,B4,Coisa Linda,2015-07-10,02:58.7
54,B4,Bossa,2015-07-10,03:41.9
55,B4,Cataflor,2015-07-10,03:47.4
56,B4,Liberdade Ou Solidão,2015-07-10,03:30.3
57,B4,Sol Que Faltava,2015-07-10,03:43.7
