 track_id, acousticness, danceability, energy, instrumentalness, liveness, loudness, speechiness, tempo, time_signature
1,0.477,0.674,0.23,2.18E-05,0.908,-18.014,0.0486,122.018,4
2,0.22,0.545,0.654,3.30E-05,0.693,-14.689,0.0493,96.094,4
3,0.0412,0.543,0.435,0,0.682,-13.398,0.0297,101.193,4
4,0.0244,0.518,0.554,2.89E-06,0.721,-14.61,0.0367,138.088,4
5,0.0575,0.524,0.359,2.48E-05,0.691,-15.021,0.0357,116.681,4
6,0.346,0.41,0.332,0,0.673,-15.382,0.0486,132.768,4
7,0.26,0.582,0.443,0.000112,0.696,-15.906,0.0405,87.07,4
8,0.302,0.51,0.181,0,0.715,-18.15,0.0552,108.986,4
9,0.0364,0.664,0.575,0.00458,0.687,-13.538,0.0637,109.009,4
10,0.124,0.603,0.514,0,0.677,-13.941,0.0351,96.042,4
11,0.0528,0.487,0.627,5.17E-06,0.764,-14.515,0.0442,93.191,4
12,0.692,0.456,0.109,0.00218,0.712,-17.002,0.0505,114.759,4
13,0.918,0.467,0.104,0.00029,0.706,-20.923,0.0362,144.504,4
14,0.205,0.451,0.563,0.132,0.247,-15.259,0.0461,178.183,4
15,0.144,0.452,0.262,0.000593,0.717,-17.592,0.0351,72.258,4
16,0.249,0.649,0.586,0,0.704,-14.173,0.112,87.056,4
17,0.122,0.695,0.502,0.00284,0.881,-13.783,0.044,123.111,4
18,0.565,0.58,0.261,1.47E-05,0.701,-16.814,0.0352,132.05,4
19,0.0375,0.528,0.471,0,0.939,-13.378,0.0313,87.02,4
20,0.387,0.514,0.392,0.00279,0.71,-16.902,0.0386,75.909,4
21,0.105,0.653,0.238,0.000501,0.111,-14.374,0.0549,122.705,4
22,0.269,0.689,0.531,1.25E-05,0.14,-9.669,0.056,139.923,4
23,0.182,0.554,0.377,0,0.103,-9.712,0.0302,113.75,4
24,0.026,0.66,0.675,0,0.0656,-7.909,0.245,191.92,4
25,0.00142,0.693,0.482,0.00993,0.386,-11.443,0.0506,119.934,4
26,0.121,0.685,0.446,0.00307,0.181,-9.966,0.0452,100.012,4
27,0.691,0.397,0.264,1.22E-06,0.0777,-12.758,0.0322,151.954,4
28,0.563,0.703,0.298,0,0.0994,-11.828,0.0581,132.811,4
29,0.251,0.686,0.413,0,0.112,-10.264,0.0403,93.069,4
30,0.321,0.722,0.63,0.000117,0.117,-9.081,0.0788,176.037,4
31,0.916,0.413,0.114,1.55E-06,0.103,-14.113,0.0392,110.632,4
32,0.721,0.537,0.383,2.62E-05,0.103,-10.979,0.0313,75.022,4
33,0.871,0.34,0.0307,0.000117,0.108,-16.542,0.043,100.099,3
34,0.637,0.574,0.428,0,0.943,-11.525,0.038,124.335,4
35,0.518,0.473,0.309,2.98E-06,0.918,-14.34,0.0334,90.889,4
36,0.615,0.468,0.468,0,0.67,-10.046,0.0303,95.065,4
37,0.884,0.538,0.17,1.05E-05,0.936,-17.488,0.0326,147.887,4
38,0.101,0.767,0.482,1.75E-06,0.818,-13.39,0.103,118.77,4
39,0.82,0.534,0.131,0,0.931,-15.853,0.0506,75.805,4
40,0.925,0.407,0.115,0.000197,0.664,-18.693,0.0334,160.131,4
41,0.633,0.463,0.399,0,0.953,-11.261,0.03,89.21,4
42,0.411,0.605,0.595,0,0.949,-10.357,0.0618,118.568,4
43,0.767,0.453,0.149,0,0.938,-13.649,0.0396,153.32,4
44,0.374,0.418,0.676,0,0.895,-10.771,0.0836,101.731,4
45,0.372,0.552,0.542,0,0.687,-9.71,0.0357,103.524,4
46,0.337,0.586,0.507,0,0.853,-8.508,0.0306,94.541,4
47,0.88,0.35,0.0652,4.90E-06,0.784,-18.219,0.0444,140.502,4
48,0.18,0.703,0.661,7.19E-06,0.118,-6.369,0.0296,101.967,4
49,0.0582,0.772,0.588,1.79E-06,0.335,-7.201,0.0314,90.034,4
50,0.255,0.653,0.557,0.000331,0.105,-7.339,0.0274,97.997,4
51,0.615,0.68,0.413,0.0296,0.105,-13.575,0.0295,149.944,4
